Neighbourhood,Crime Category,Incident Count
Pelmo Park-Humberlea (23),NonMCI,444
Pelmo Park-Humberlea (23),Robbery,120
Pelmo Park-Humberlea (23),Theft Over,75
Playter Estates-Danforth (67),Assault,850
Playter Estates-Danforth (67),Auto Theft,143
Playter Estates-Danforth (67),Break and Enter,381
Playter Estates-Danforth (67),NonMCI,408
Playter Estates-Danforth (67),Robbery,125
Playter Estates-Danforth (67),Theft Over,34
Pleasant View (46),Assault,469
Pleasant View (46),Auto Theft,235
Pleasant View (46),Break and Enter,220
Pleasant View (46),NonMCI,440
Pleasant View (46),Robbery,106
Pleasant View (46),Theft Over,57
Princess-Rosethorn (10),Assault,283
Princess-Rosethorn (10),Auto Theft,386
Princess-Rosethorn (10),Break and Enter,373
Princess-Rosethorn (10),NonMCI,464
Princess-Rosethorn (10),Robbery,92
Princess-Rosethorn (10),Theft Over,53
Regent Park (72),Assault,1594
Regent Park (72),Auto Theft,141
Regent Park (72),Break and Enter,389
Regent Park (72),NonMCI,484
Regent Park (72),Robbery,211
Regent Park (72),Theft Over,58
Rexdale-Kipling (4),Assault,746
Rexdale-Kipling (4),Auto Theft,452
Rexdale-Kipling (4),Break and Enter,222
Rexdale-Kipling (4),NonMCI,431
Rexdale-Kipling (4),Robbery,182
Rexdale-Kipling (4),Theft Over,34
Rockcliffe-Smythe (111),Assault,1659
Rockcliffe-Smythe (111),Auto Theft,550
Rockcliffe-Smythe (111),Break and Enter,442
Rockcliffe-Smythe (111),NonMCI,723
Rockcliffe-Smythe (111),Robbery,266
Rockcliffe-Smythe (111),Theft Over,96
Roncesvalles (86),Assault,1401
Roncesvalles (86),Auto Theft,211
Roncesvalles (86),Break and Enter,682
Roncesvalles (86),NonMCI,474
Roncesvalles (86),Robbery,222
Roncesvalles (86),Theft Over,69
Rosedale-Moore Park (98),Assault,1832
Rosedale-Moore Park (98),Auto Theft,566
Rosedale-Moore Park (98),Break and Enter,932
Rosedale-Moore Park (98),NonMCI,608
Rosedale-Moore Park (98),Robbery,254
Rosedale-Moore Park (98),Theft Over,147
